year,country,mean_number_of_years_in_school
1971,Cote d'Ivoire,0.75
1971,Cameroon,1.3
1971,"Congo, Dem. Rep.",1.85
1971,"Congo, Rep.",1.85
1971,Colombia,3.55
1971,Comoros,0.55
1971,Cape Verde,0.9
1971,Costa Rica,4.15
1971,Cuba,5.6
1971,Cyprus,5.7
1971,Czech Republic,9.8
1971,Germany,7.3
1971,Djibouti,0.9
1971,Denmark,8.649999999999999
1971,Dominican Republic,2.8
1971,Algeria,0.75
1971,Ecuador,3.55
1971,Egypt,1.9
1971,Eritrea,0.44999999999999996
1971,Spain,2.8499999999999996
1971,Estonia,6.55
1971,Ethiopia,0.3
1971,Finland,6.95
1971,Fiji,4.6
1971,France,6.05
1971,Gabon,1.9500000000000002
1971,UK,8.850000000000001
1971,Georgia,7.6
1971,Ghana,2.15
1971,Guinea,0.35
1971,Gambia,0.6
1971,Guinea-Bissau,0.39999999999999997
1971,Equatorial Guinea,1.8499999999999999
1971,Greece,5.2
1971,Guatemala,1.4500000000000002
1971,Guyana,4.5
1971,Honduras,2.05
1971,Croatia,4.5
1971,Haiti,0.8999999999999999
1971,Hungary,7.35
1971,Indonesia,2.05
1971,India,1.5499999999999998
1971,Ireland,6.35
1971,Iran,1.5
1971,Iraq,2.45
1971,Israel,7.65
1971,Italy,5.8
1971,Jamaica,4.85
1971,Jordan,2.5
1971,Japan,8.600000000000001
1971,Kazakhstan,5.25
1971,Kenya,1.7000000000000002
1971,Kyrgyz Republic,5.5
1971,Cambodia,1.4500000000000002
1971,Kiribati,3.55
1971,South Korea,6.55
1971,Kuwait,2.05
1971,Lao,1.0
1971,Lebanon,2.4
1971,Liberia,0.9500000000000001
1971,St. Lucia,4.699999999999999
1971,Sri Lanka,4.3
1971,Lesotho,2.3
1971,Lithuania,5.4
1971,Luxembourg,6.5
1971,Latvia,6.6
1971,Morocco,0.75
1971,Moldova,6.1
1971,Madagascar,1.15
1971,Maldives,2.3
1971,Mexico,3.0
1971,Marshall Islands,4.25
1971,North Macedonia,4.85
1971,Mali,0.3
1971,Myanmar,1.85
1971,Montenegro,5.85
1971,Mongolia,4.699999999999999
1971,Mozambique,0.7000000000000001
1971,Mauritania,0.44999999999999996
1971,Mauritius,2.1
1971,Malawi,1.3
1971,Malaysia,2.7
1971,Namibia,1.95
1971,Niger,0.15000000000000002
1971,Nigeria,1.25
1971,Nicaragua,2.2
1971,Netherlands,7.0
1971,Norway,6.9
1971,Nepal,0.6000000000000001
1971,New Zealand,6.65
1971,Oman,1.15
1971,Pakistan,0.9500000000000001
1971,Panama,4.9
1971,Peru,3.8
1971,Philippines,4.9
1971,Papua New Guinea,1.05
1971,Poland,7.85
1971,Portugal,2.75
1971,Paraguay,3.45
1971,Palestine,2.7
1971,Qatar,2.1
1971,Romania,6.4
1971,Russia,6.4
1971,Rwanda,0.8500000000000001
1971,Saudi Arabia,1.75
1971,Sudan,1.0
1971,Senegal,0.55
1971,Singapore,3.15
1971,Solomon Islands,1.5
1971,Sierra Leone,0.6
1971,El Salvador,2.8
1971,Somalia,0.45
1971,Serbia,5.050000000000001
1971,Sao Tome and Principe,1.2
1971,Suriname,3.45
1971,Slovak Republic,5.550000000000001
1971,Slovenia,5.1
1971,Sweden,7.45
1971,Eswatini,1.7
1971,Seychelles,3.7
1971,Syria,1.4500000000000002
1971,Chad,0.35
1971,Togo,0.85
1971,Thailand,3.55
1971,Tajikistan,5.35
1971,Turkmenistan,5.35
1971,Timor-Leste,0.5
1971,Tonga,5.8
1971,Trinidad and Tobago,5.15
1971,Tunisia,1.5
1971,Turkey,2.05
1971,Taiwan,3.55
1971,Tanzania,1.35
1971,Uganda,1.5
1971,Ukraine,7.35
1971,Uruguay,5.3
1971,USA,11.25
1971,Uzbekistan,5.75
1971,Venezuela,3.45
1971,Vietnam,3.75
1971,Vanuatu,2.35
1971,Samoa,4.7
1971,Yemen,0.35
1971,South Africa,3.1
1971,Zambia,2.15
1971,Zimbabwe,2.3
1972,Afghanistan,0.45
1972,Angola,1.0
1972,Albania,4.699999999999999
1972,UAE,2.45
1972,Argentina,5.9
1972,Armenia,6.550000000000001
1972,Antigua and Barbuda,7.2
1972,Australia,8.8
1972,Austria,8.25
1972,Azerbaijan,5.75
1972,Burundi,0.75
1972,Belgium,7.35
1972,Benin,0.6
1972,Burkina Faso,0.25
1972,Bangladesh,1.55
1972,Bulgaria,7.15
1972,Bahrain,1.9500000000000002
1972,Bahamas,6.5
1972,Bosnia and Herzegovina,3.1999999999999997
1972,Belarus,6.9
1972,Belize,4.35
1972,Bolivia,2.7
1972,Brazil,2.5
1972,Botswana,1.2999999999999998
1972,Central African Republic,0.85
1972,Canada,9.2
1972,Switzerland,8.85
1972,Chile,5.7
1972,China,2.3499999999999996
1972,Cote d'Ivoire,0.8
1972,Cameroon,1.4
1972,"Congo, Dem. Rep.",1.9
1972,"Congo, Rep.",1.9
1972,Colombia,3.5999999999999996
1972,Comoros,0.65
1972,Cape Verde,0.95
1972,Costa Rica,4.25
1972,Cuba,5.7
1972,Cyprus,5.9
1972,Czech Republic,9.95
1972,Germany,7.45
1972,Djibouti,1.0
1972,Denmark,8.8
1972,Dominican Republic,2.9
1972,Algeria,0.8
1972,Ecuador,3.65
1972,Egypt,2.0
1972,Eritrea,0.44999999999999996
1972,Spain,2.95
1972,Estonia,6.699999999999999
1972,Ethiopia,0.3
1972,Finland,7.1
1972,Fiji,4.75
1972,France,6.2
1972,Gabon,2.05
1972,UK,9.0
1972,Georgia,7.75
1972,Ghana,2.25
1972,Guinea,0.39999999999999997
1972,Gambia,0.6
1972,Guinea-Bissau,0.39999999999999997
1972,Equatorial Guinea,1.95
1972,Greece,5.3
1972,Guatemala,1.5
1972,Guyana,4.6
1972,Honduras,2.0999999999999996
1972,Croatia,4.65
1972,Haiti,0.8999999999999999
1972,Hungary,7.45
1972,Indonesia,2.15
1972,India,1.6
1972,Ireland,6.5
1972,Iran,1.5999999999999999
1972,Iraq,2.5
1972,Israel,7.85
1972,Italy,5.95
1972,Jamaica,5.050000000000001
1972,Jordan,2.5999999999999996
1972,Japan,8.75
1972,Kazakhstan,5.35
1972,Kenya,1.8
1972,Kyrgyz Republic,5.65
1972,Cambodia,1.5
1972,Kiribati,3.7
1972,South Korea,6.6499999999999995
1972,Kuwait,2.15
1972,Lao,1.1
1972,Lebanon,2.55
1972,Liberia,0.9500000000000001
1972,St. Lucia,4.9
1972,Sri Lanka,4.45
1972,Lesotho,2.4000000000000004
1972,Lithuania,5.6
1972,Luxembourg,6.65
1972,Latvia,6.8
1972,Morocco,0.75
1972,Moldova,6.25
1972,Madagascar,1.25
1972,Maldives,2.35
1972,Mexico,3.1
1972,Marshall Islands,4.4
1972,North Macedonia,5.0
1972,Mali,0.3
1972,Myanmar,1.9
1972,Montenegro,6.05
1972,Mongolia,4.85
1972,Mozambique,0.7000000000000001
1972,Mauritania,0.44999999999999996
1972,Mauritius,2.2
1972,Malawi,1.35
1972,Malaysia,2.8
1972,Namibia,2.05
1972,Niger,0.15000000000000002
1972,Nigeria,1.25
1972,Nicaragua,2.25
1972,Netherlands,7.1
1972,Norway,7.15
1972,Nepal,0.6000000000000001
1972,New Zealand,6.85
1972,Oman,1.2
1972,Pakistan,1.0
1972,Panama,5.05
1972,Peru,3.9000000000000004
1972,Philippines,5.0
1972,Papua New Guinea,1.15
1972,Poland,8.0
1972,Portugal,2.8499999999999996
1972,Paraguay,3.55
1972,Palestine,2.8499999999999996
1972,Qatar,2.2
1972,Romania,6.6
1972,Russia,6.6
1972,Rwanda,0.8500000000000001
1972,Saudi Arabia,1.8
1972,Sudan,1.0
1972,Senegal,0.6
1972,Singapore,3.25
1972,Solomon Islands,1.6
1972,Sierra Leone,0.6
1972,El Salvador,2.85
1972,Somalia,0.45
1972,Serbia,5.2
1972,Sao Tome and Principe,1.3
1972,Suriname,3.55
1972,Slovak Republic,5.75
1972,Slovenia,5.300000000000001
1972,Sweden,7.65
1972,Eswatini,1.8
1972,Seychelles,3.8499999999999996
1972,Syria,1.5
1972,Chad,0.35
1972,Togo,0.85
1972,Thailand,3.5999999999999996
1972,Tajikistan,5.5
1972,Turkmenistan,5.5
1972,Timor-Leste,0.55
1972,Tonga,5.9
1972,Trinidad and Tobago,5.3
1972,Tunisia,1.55
1972,Turkey,2.1
1972,Taiwan,3.7
1972,Tanzania,1.4
1972,Uganda,1.5499999999999998
1972,Ukraine,7.449999999999999
1972,Uruguay,5.4
1972,USA,11.35
1972,Uzbekistan,5.9
1972,Venezuela,3.6
1972,Vietnam,3.85
1972,Vanuatu,2.45
1972,Samoa,4.85
1972,Yemen,0.35
1972,South Africa,3.25
1972,Zambia,2.2
1972,Zimbabwe,2.4000000000000004
1973,Afghanistan,0.45
1973,Angola,1.05
1973,Albania,4.85
1973,UAE,2.55
1973,Argentina,6.050000000000001
1973,Armenia,6.65
1973,Antigua and Barbuda,7.4
1973,Australia,8.899999999999999
1973,Austria,8.35
1973,Azerbaijan,5.95
1973,Burundi,0.75
1973,Belgium,7.55
1973,Benin,0.65
1973,Burkina Faso,0.25
1973,Bangladesh,1.6
1973,Bulgaria,7.25
1973,Bahrain,2.0999999999999996
1973,Bahamas,6.65
1973,Bosnia and Herzegovina,3.3
1973,Belarus,7.1
1973,Belize,4.449999999999999
1973,Bolivia,2.85
1973,Brazil,2.5999999999999996
1973,Botswana,1.4
1973,Central African Republic,0.85
1973,Canada,9.4
1973,Switzerland,9.05
1973,Chile,5.8
1973,China,2.45
1973,Cote d'Ivoire,0.8
1973,Cameroon,1.4
1973,"Congo, Dem. Rep.",2.0
1973,"Congo, Rep.",2.0
1973,Colombia,3.7
1973,Comoros,0.65
1973,Cape Verde,1.0
1973,Costa Rica,4.35
1973,Cuba,5.85
1973,Cyprus,6.1
1973,Czech Republic,10.15
1973,Germany,7.65
1973,Djibouti,1.05
1973,Denmark,9.0
1973,Dominican Republic,3.0
1973,Algeria,0.9
1973,Ecuador,3.75
1973,Egypt,2.05
1973,Eritrea,0.5
1973,Spain,3.1
1973,Estonia,6.85
1973,Ethiopia,0.35
1973,Finland,7.300000000000001
1973,Fiji,4.9
1973,France,6.3
1973,Gabon,2.1
1973,UK,9.2
1973,Georgia,7.9
1973,Ghana,2.35
1973,Guinea,0.39999999999999997
1973,Gambia,0.65
1973,Guinea-Bissau,0.39999999999999997
1973,Equatorial Guinea,2.0
1973,Greece,5.5
1973,Guatemala,1.6
1973,Guyana,4.7
1973,Honduras,2.2
1973,Croatia,4.800000000000001
1973,Haiti,0.95
1973,Hungary,7.55
1973,Indonesia,2.25
1973,India,1.65
1973,Ireland,6.65
1973,Iran,1.65
1973,Iraq,2.5999999999999996
1973,Israel,8.0
1973,Italy,6.1
1973,Jamaica,5.15
1973,Jordan,2.75
1973,Japan,8.85
1973,Kazakhstan,5.550000000000001
1973,Kenya,1.8499999999999999
1973,Kyrgyz Republic,5.85
1973,Cambodia,1.5499999999999998
1973,Kiribati,3.8
1973,South Korea,6.85
1973,Kuwait,2.25
1973,Lao,1.15
1973,Lebanon,2.7
1973,Liberia,1.05
1973,St. Lucia,5.0
1973,Sri Lanka,4.550000000000001
1973,Lesotho,2.5
1973,Lithuania,5.8
1973,Luxembourg,6.8
1973,Latvia,7.0
1973,Morocco,0.8
1973,Moldova,6.4
1973,Madagascar,1.25
1973,Maldives,2.4000000000000004
1973,Mexico,3.2
1973,Marshall Islands,4.5
1973,North Macedonia,5.15
1973,Mali,0.3
1973,Myanmar,2.0
1973,Montenegro,6.2
1973,Mongolia,4.949999999999999
1973,Mozambique,0.75
1973,Mauritania,0.5
1973,Mauritius,2.3
1973,Malawi,1.4
1973,Malaysia,2.9
1973,Namibia,2.15
1973,Niger,0.15000000000000002
1973,Nigeria,1.3
1973,Nicaragua,2.35
1973,Netherlands,7.300000000000001
1973,Norway,7.45
1973,Nepal,0.65
1973,New Zealand,7.05
1973,Oman,1.2999999999999998
1973,Pakistan,1.0
1973,Panama,5.15
1973,Peru,4.050000000000001
1973,Philippines,5.1
1973,Papua New Guinea,1.15
1973,Poland,8.15
1973,Portugal,2.95
1973,Paraguay,3.65
1973,Palestine,2.95
1973,Qatar,2.3
1973,Romania,6.800000000000001
1973,Russia,6.75
1973,Rwanda,0.8999999999999999
1973,Saudi Arabia,1.85
1973,Sudan,1.05
1973,Senegal,0.6
1973,Singapore,3.3499999999999996
1973,Solomon Islands,1.7
1973,Sierra Leone,0.65
1973,El Salvador,2.95
1973,Somalia,0.45
1973,Serbia,5.3
1973,Sao Tome and Principe,1.35
1973,Suriname,3.7
1973,Slovak Republic,5.949999999999999
1973,Slovenia,5.5
1973,Sweden,7.8
1973,Eswatini,1.9000000000000001
1973,Seychelles,3.95
1973,Syria,1.6
1973,Chad,0.39999999999999997
1973,Togo,0.95
1973,Thailand,3.7
1973,Tajikistan,5.6
1973,Turkmenistan,5.65
1973,Timor-Leste,0.55
1973,Tonga,6.1
1973,Trinidad and Tobago,5.4
1973,Tunisia,1.6500000000000001
1973,Turkey,2.2
1973,Taiwan,3.9
1973,Tanzania,1.4500000000000002
1973,Uganda,1.65
1973,Ukraine,7.6
